"objectid","iso3cd","romnam","m49code","species_group","kingdom","habitat_id","habitat","CF_occ_avg_reg","CF_occ_avg_reg_rsd","CF_occ_avg_glo","CF_occ_avg_glo_rsd","CF_occ_mar_reg","CF_occ_mar_reg_rsd","CF_occ_mar_glo","CF_occ_mar_glo_rsd","CF_tra_avg_reg","CF_tra_avg_reg_rsd","CF_tra_avg_glo","CF_tra_avg_glo_rsd","CF_tra_mar_reg","CF_tra_mar_reg_rsd","CF_tra_mar_glo","CF_tra_mar_glo_rsd","quality_reg","quality_glo"
143,"POL","Poland",616,"Eukaryota",NA,15,"Urban_Light",9.72608524384378e-13,2.08825491872524,1.85687120570773e-16,0.944970773000369,1.84224601119975e-12,1.88311817750919,3.60285267890987e-16,0.887043668504757,8.00405140111114e-10,2.0194781206095,1.5763614648204e-13,0.93147929452663,1.52239090750807e-09,1.85107192806553,3.06476707496288e-13,0.910410691874805,"original","original"
143,"POL","Poland",616,"Eukaryota",NA,16,"Urban_Minimal",8.86698084948701e-13,NA,1.64097781077407e-16,NA,1.66995533681718e-12,NA,3.11503057538611e-16,NA,7.25631564823858e-10,NA,1.38902130103341e-13,NA,1.37289032625753e-09,NA,2.64701389719924e-13,NA,"original","original"
144,"PRK","Democratic People's Republic of Korea",408,"Eukaryota",NA,2,"Cropland_Intense",6.67780613340750e-12,1.16885510060703,1.88719421797555e-15,0.868474498374384,9.49117369316862e-12,1.0544980145541,2.97108982846687e-15,0.994784214877551,5.46361072797576e-09,1.17991022116393,1.53187861297748e-12,0.852711556368374,7.74247366086316e-09,1.06685383611623,2.39874602471543e-12,0.974711650517502,"original","original"
144,"PRK","Democratic People's Republic of Korea",408,"Eukaryota",NA,3,"Cropland_Light",5.36362991533962e-12,1.40827426215253,1.63258314664216e-15,0.99133250038195,7.67440765250569e-12,1.27254966316147,2.64466277470873e-15,1.06687797751193,4.43245091270463e-09,1.41210354995758,1.33209969317012e-12,0.968682100456753,6.31696001275051e-09,1.27901846811944,2.14261716176308e-12,1.04255237186089,"original","original"
144,"PRK","Democratic People's Republic of Korea",408,"Eukaryota",NA,4,"Cropland_Minimal",2.34885882173e-12,0.766937908546597,1.42812833075482e-15,1.06851902185176,3.850018504081e-12,0.752698767683704,2.40249230979802e-15,1.11067368667675,1.91373436672365e-09,0.76472413391839,1.15456694419386e-12,1.04873000379415,3.12320720302421e-09,0.750261834146144,1.93254579403811e-12,1.09152762211531,"original","original"
144,"PRK","Democratic People's Republic of Korea",408,"Eukaryota",NA,5,"Managed_forest_Intense",8.76127632819974e-13,0.37422110007651,5.16042345037631e-16,0.494467547875973,1.5779554888314e-12,5.075436339888,9.04302498108769e-16,0.995853308519222,7.11741201213991e-10,0.367416377659652,4.21196366112598e-13,0.497463685902642,1.27429264834344e-09,4.97329556368511,7.33086301219639e-13,1.0074249245758,"original","original"
144,"PRK","Democratic People's Republic of Korea",408,"Eukaryota",NA,6,"Managed_forest_Light",1.30524693994175e-12,0.913337776819506,4.81251874179116e-16,1.13386000950525,1.95624019477211e-12,0.789455735907613,8.06545793374355e-16,1.2792132118064,1.04916825387662e-09,0.917744997379167,3.83476928845388e-13,1.11868106851902,1.56785223259436e-09,0.79483962066577,6.40576958389307e-13,1.26487227328844,"original","original"
144,"PRK","Democratic People's Republic of Korea",408,"Eukaryota",NA,7,"Managed_forest_Minimal",3.3926112771981e-13,0.889307956164591,1.363096574259e-16,1.23131277206482,5.19568258641137e-13,0.75656674496243,2.32766164621339e-16,1.36946586567028,2.68921038185739e-10,0.887621064008264,1.07298488552039e-13,1.2200674310342,4.10875689119582e-10,0.756418844208404,1.82815562852003e-13,1.35949667517441,"original","original"
144,"PRK","Democratic People's Republic of Korea",408,"Eukaryota",NA,8,"Pasture_Intense",6.69465247840089e-12,1.44624158740609,1.27971427271126e-15,0.69250204727133,9.06614293567787e-12,1.37539674903596,1.8016038217223e-15,0.599808807452253,5.51155186848744e-09,1.45414040732278,1.05735585395249e-12,0.699434811643128,7.44888348142798e-09,1.38507438404378,1.48214365787096e-12,0.605937292687717,"original","original"
144,"PRK","Democratic People's Republic of Korea",408,"Eukaryota",NA,9,"Pasture_Light",6.26199891530175e-12,1.52974761338507,1.15920007411224e-15,0.73920844523011,8.40909749699437e-12,1.4676928909101,1.60611337416091e-15,0.661313709521568,5.17207306643028e-09,1.53480973489695,9.62795172472799e-13,0.745711626056533,6.93333705480514e-09,1.47438116841798,1.32875335067834e-12,0.665597006074282,"original","original"
144,"PRK","Democratic People's Republic of Korea",408,"Eukaryota",NA,10,"Pasture_Minimal",5.32317787227906e-12,1.73379874292075,9.09430817719858e-16,0.87270126393688,7.01625787002479e-12,1.69539592677565,1.211245935366e-15,0.830096583274848,4.3984252933296e-09,1.72901881881188,7.59890316756629e-13,0.87293000284489,5.79194210415312e-09,1.69139700639877,1.00982879952297e-12,0.82499501733382,"original","original"
144,"PRK","Democratic People's Republic of Korea",408,"Eukaryota",NA,11,"Plantation_Intense",3.03304903429214e-12,0.749334402284074,1.9498923378267e-15,1.1340699121752,5.04352651727558e-12,0.735215075463564,3.33224982818864e-15,1.17673013210747,2.47717980599392e-09,0.744172641229121,1.57928306874143e-12,1.11269398334803,4.10053702265984e-09,0.72960166396205,2.68587851262919e-12,1.15668628350056,"original","original"
144,"PRK","Democratic People's Republic of Korea",408,"Eukaryota",NA,12,"Plantation_Light",3.09290316000455e-12,0.550793464096111,2.20608562520103e-15,0.475950276162142,5.06655295269198e-12,0.506358128116932,3.76296484953918e-15,0.431670488509627,2.52414395613168e-09,0.560948640237933,1.78030346406635e-12,0.488443061721393,4.11860456532564e-09,0.517198112009098,3.02383625052167e-12,0.444920276189511,"original","original"
144,"PRK","Democratic People's Republic of Korea",408,"Eukaryota",NA,13,"Plantation_Minimal",1.60868853885487e-12,0.355953075425295,1.39899856723381e-15,0.0604184770922034,2.8387467626122e-12,0.283700604746263,2.58319866768534e-15,0.0496162193821902,1.24979208974991e-09,0.31077979008925,1.10000870247918e-12,0.06252284478794,2.21483407260961e-09,0.251674710926514,2.03079155698964e-12,0.0519681063446673,"proxy_type","proxy_type"
144,"PRK","Democratic People's Republic of Korea",408,"Eukaryota",NA,14,"Urban_Intense",2.6721793884987e-12,0.736860587924236,1.66336137693525e-15,1.07540520895137,4.39890240590163e-12,0.726648747847295,2.8105811442284e-15,1.12224590396747,2.18798147557352e-09,0.73322878128998,1.35108650528974e-12,1.05438235330532,3.58591079152656e-09,0.722474551187177,2.27164083352215e-12,1.10213158031687,"original","original"
144,"PRK","Democratic People's Republic of Korea",408,"Eukaryota",NA,15,"Urban_Light",4.77569556802524e-12,1.62781781448163,9.31094122490373e-16,0.857553999455762,6.37253830965162e-12,1.56029248395755,1.2636323467666e-15,0.858968789409315,3.98015970265629e-09,1.62051693388106,7.83749002031405e-13,0.8572444296057,5.30675608953879e-09,1.55360040882285,1.06151096662933e-12,0.852838890773371,"original","original"
144,"PRK","Democratic People's Republic of Korea",408,"Eukaryota",NA,16,"Urban_Minimal",4.54184471617839e-12,NA,8.63242272539145e-16,NA,6.04735974398262e-12,NA,1.16151142083801e-15,NA,3.76274163984666e-09,NA,7.23321151648694e-13,NA,5.00663941856838e-09,NA,9.71782562678911e-13,NA,"original","original"
