Value;Ecoinvent_region_shortname;Ecoinvent_region_id;Ecoinvent_region_uuid;Characterization_factor_2;Characterization_factor_5;Characterization_factor_8;Characterization_factor_11;Characterization_factor_14;Characterization_factor_17;Characterization_factor_20;Characterization_factor_23;Characterization_factor_26;Characterization_factor_29;Characterization_factor_32;Characterization_factor_35;Characterization_factor_38;Characterization_factor_41;Characterization_factor_44;Characterization_factor_47
Substance;N/A;N/A;N/A;PM2.5;SO2;NOx;NH3;PM2.5;SO2;NOx;NH3;PM2.5;SO2;NOx;NH3;PM2.5;SO2;NOx;NH3
Height_class;N/A;N/A;N/A;Ground_level;Ground_level;Ground_level;Ground_level;Low_stack;Low_stack;Low_stack;Low_stack;High_stack;High_stack;High_stack;High_stack;Very_high_stack;Very_high_stack;Very_high_stack;Very_high_stack
Month;N/A;N/A;N/A;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average
Time_of_day;N/A;N/A;N/A;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average
Effect_model;N/A;N/A;N/A;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average
Unit;N/A;N/A;N/A;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg
Region1;NF;93;10271ce4-7d7e-11de-9ae2-0019e336be3a;3.97E-06;8.29E-07;1.69E-07;1.64E-06;3.64E-06;9.65E-07;2.07E-07;1.64E-06;3.68E-06;1.19E-06;2.40E-07;2.28E-06;3.81E-06;1.25E-06;2.57E-07;2.55E-06
Region2;Canada without Alberta and Quebec;345;ae9d0b20-e4e3-4cd3-9699-63eca5319c9b;1.06E-05;1.67E-06;7.55E-07;6.75E-06;8.43E-06;1.54E-06;7.00E-07;4.56E-06;5.75E-06;1.46E-06;5.79E-07;3.25E-06;5.24E-06;1.45E-06;4.78E-07;2.85E-06
Region3;Canada without Quebec;342;a4d7d7fd-94ae-4f44-91ba-53cd7f79bac4;1.15E-05;1.75E-06;8.25E-07;7.32E-06;9.05E-06;1.59E-06;7.65E-07;4.86E-06;5.91E-06;1.48E-06;6.18E-07;3.33E-06;5.33E-06;1.46E-06;5.03E-07;2.86E-06
Region4;North America without Quebec;343;aab06382-a476-4bec-a78b-d2fc0b849980;6.36E-05;6.02E-06;3.58E-06;3.01E-05;4.24E-05;4.30E-06;2.96E-06;1.62E-05;1.54E-05;2.36E-06;1.95E-06;6.35E-06;1.06E-05;2.03E-06;1.37E-06;3.36E-06
Region5;Europe, without Russia and Türkiye;341;c670b4a0-6051-4935-bafe-866736a010a9;0.000330012;3.34E-05;2.79E-05;2.38E-04;2.13E-04;2.12E-05;2.18E-05;1.12E-04;6.71E-05;8.14E-06;1.31E-05;3.03E-05;4.10E-05;5.77E-06;8.64E-06;7.20E-06
Region6;Europe without Austria;335;67c114d5-d361-4466-a5e7-fc21c498a254;2.33E-04;2.43E-05;2.00E-05;1.71E-04;1.52E-04;1.56E-05;1.59E-05;8.22E-05;4.86E-05;6.19E-06;9.61E-06;2.26E-05;3.01E-05;4.50E-06;6.32E-06;5.93E-06
Region7;US-MRO;319;6432879f-dc31-4e80-bc55-573f72dafee8;8.19E-05;7.97E-06;5.81E-06;5.00E-05;5.44E-05;5.46E-06;5.00E-06;2.80E-05;1.98E-05;2.77E-06;3.32E-06;9.68E-06;1.33E-05;2.29E-06;2.35E-06;3.87E-06
Region8;US-NPCC;327;50f826e7-ab13-444e-987b-180701b691c9;0.000363912;3.37E-05;2.50E-05;0.000237542;0.000234805;2.18E-05;1.99E-05;0.000121713;7.66E-05;8.36E-06;1.26E-05;3.47E-05;4.58E-05;5.88E-06;7.60E-06;7.86E-06
Region9;China w/o Inner Mongol;330;5874165e-031e-4e85-ab69-8c2ae6a1a970;0.000463749;3.90E-05;3.17E-05;2.38E-04;0.000293134;2.53E-05;2.52E-05;1.17E-04;8.33E-05;9.54E-06;1.51E-05;3.31E-05;4.86E-05;6.69E-06;9.53E-06;7.70E-06
Region10;RER w/o RU;332;e6a1bb9b-c1f3-49ed-a64b-87d488244ef9;0.000330012;3.34E-05;2.79E-05;2.38E-04;0.000213493;2.12E-05;2.18E-05;1.12E-04;6.71E-05;8.14E-06;1.31E-05;3.03E-05;4.10E-05;5.77E-06;8.64E-06;7.20E-06
Region11;RER w/o DE+NL+NO;340;ae85cec6-cc61-4a0d-a322-5fb10b6b4ece;0.000220749;2.29E-05;1.87E-05;0.000157441;0.000143784;1.48E-05;1.49E-05;7.64E-05;4.60E-05;5.90E-06;9.07E-06;2.13E-05;2.86E-05;4.31E-06;5.98E-06;5.72E-06
Region12;US-WECC;316;f37ced82-5df8-48c2-a207-1e36dd11a112;0.000108686;8.76E-06;3.98E-06;3.07E-05;7.09E-05;6.05E-06;3.50E-06;1.66E-05;2.24E-05;2.80E-06;2.32E-06;6.57E-06;1.43E-05;2.30E-06;1.75E-06;3.47E-06
Region13;IN-Northern grid;304;59003ab7-b40a-43ac-b7c9-3e3e8907803e;0.001457518;9.84E-05;2.10E-05;0.000123092;9.27E-04;6.76E-05;1.87E-05;6.42E-05;2.07E-04;2.02E-05;1.10E-05;2.04E-05;1.06E-04;1.33E-05;1.03E-05;5.98E-06
Region14;IN-Western grid;305;25457a88-a525-4fd8-b73d-72fd3f37fc74;0.001122409;7.54E-05;1.64E-05;1.09E-04;7.11E-04;5.07E-05;1.25E-05;5.18E-05;1.68E-04;1.61E-05;6.91E-06;1.60E-05;8.80E-05;1.07E-05;4.95E-06;4.86E-06
Region15;IN-Eastern grid;307;1eb1f8b3-8c35-425e-94ca-cf502eb004c3;0.002473435;1.82E-04;5.05E-05;2.74E-04;1.55E-03;1.27E-04;4.06E-05;1.26E-04;2.94E-04;3.83E-05;2.02E-05;3.54E-05;1.41E-04;2.61E-05;1.62E-05;8.14E-06
Region16;IN-North-eastern grid;308;26e353a9-dac6-4123-833d-75cd720d9e19;0.001128845;9.24E-05;3.56E-05;0.000178012;0.000729702;6.84E-05;2.88E-05;8.75E-05;0.000125996;2.06E-05;1.48E-05;2.73E-05;6.00E-05;1.46E-05;1.14E-05;6.87E-06
Region17;BR-Northern grid;310;572aa631-8a25-4c16-b437-2ee0672c450d;2.39E-05;2.79E-06;2.66E-06;1.71E-05;1.68E-05;2.35E-06;2.19E-06;8.32E-06;5.53E-06;1.46E-06;1.28E-06;3.61E-06;4.18E-06;1.38E-06;8.05E-07;2.41E-06
Region18;BR-North-eastern grid;311;3ece4ff8-55ae-40b2-baea-0d2bf2034fbf;6.27E-05;6.21E-06;6.29E-06;4.90E-05;4.14E-05;4.45E-06;4.65E-06;2.17E-05;1.37E-05;2.42E-06;2.67E-06;6.90E-06;9.36E-06;2.05E-06;1.57E-06;3.20E-06
Region19;BR-South-eastern grid;312;df7d08ae-6f20-4095-96e6-3d9cc6f49263;0.000362367;3.68E-05;3.74E-05;2.76E-04;0.000238866;2.46E-05;2.84E-05;1.26E-04;6.83E-05;9.54E-06;1.65E-05;3.20E-05;3.96E-05;6.78E-06;9.16E-06;6.91E-06
Region20;BR-Mid-western grid;313;6e1c02cc-e7fc-4e63-a30e-59cfa5c4d9c1;5.30E-05;5.49E-06;4.97E-06;3.23E-05;3.67E-05;4.13E-06;3.78E-06;1.57E-05;1.13E-05;2.19E-06;2.28E-06;5.64E-06;7.64E-06;1.90E-06;1.37E-06;2.91E-06
Region21;BR-Southern grid;314;dd2330a8-30dc-4af9-bb3a-d2d2bf404dde;0.00018376;1.68E-05;1.92E-05;1.47E-04;0.000118116;1.11E-05;1.39E-05;6.44E-05;3.48E-05;4.71E-06;7.59E-06;1.70E-05;2.15E-05;3.54E-06;4.52E-06;4.68E-06
Region22;US-HICC;326;598f9aa4-e409-11de-bce5-0019e336be3a;2.97E-05;2.04E-06;2.77E-06;1.93E-05;1.78E-05;1.67E-06;1.58E-06;6.35E-06;6.22E-06;1.36E-06;6.76E-07;3.13E-06;5.05E-06;1.36E-06;4.43E-07;2.65E-06
Region23;MRO;318;39185d7c-a546-424b-8605-6bc8e94e109f;4.03E-05;4.26E-06;2.86E-06;2.46E-05;2.76E-05;3.15E-06;2.49E-06;1.42E-05;1.15E-05;1.99E-06;1.71E-06;5.87E-06;8.52E-06;1.79E-06;1.25E-06;3.26E-06
Region24;NORDEL;328;fe0113e8-7e2d-11de-9820-0019e336be3a;4.46E-05;5.51E-06;4.55E-06;3.97E-05;3.00E-05;3.87E-06;3.60E-06;1.98E-05;1.22E-05;2.22E-06;2.22E-06;7.00E-06;8.97E-06;1.93E-06;1.45E-06;3.40E-06
Region25;NPCC;325;d48cee40-0ff1-49d6-a80d-9e0be3e0c2f6;6.13E-05;6.48E-06;4.65E-06;4.33E-05;4.11E-05;4.55E-06;3.82E-06;2.30E-05;1.59E-05;2.48E-06;2.51E-06;8.11E-06;1.11E-05;2.10E-06;1.65E-06;3.58E-06
Region26;US-RFC;324;42e6cfaf-ffa3-4f42-85bb-55e1b1c40c56;3.81E-04;3.65E-05;2.71E-05;2.44E-04;2.51E-04;2.34E-05;2.16E-05;1.24E-04;8.25E-05;9.03E-06;1.36E-05;3.47E-05;4.99E-05;6.33E-06;8.72E-06;7.95E-06
Region27;WECC;315;3af78f04-f008-43fd-8e29-dccfba3075c7;7.17E-05;6.15E-06;2.93E-06;2.31E-05;4.74E-05;4.38E-06;2.59E-06;1.28E-05;1.61E-05;2.30E-06;1.77E-06;5.53E-06;1.09E-05;1.98E-06;1.33E-06;3.26E-06
Region28;LR;67;0f4c70f8-7d7e-11de-9ae2-0019e336be3a;0.000270509;2.58E-05;1.69E-05;0.000106336;0.000185226;1.97E-05;1.39E-05;5.71E-05;4.21E-05;7.17E-06;8.38E-06;1.78E-05;2.22E-05;5.18E-06;5.38E-06;4.76E-06
Region29;RER w/o CH+DE;339;5d5718f2-ee74-462a-888c-be4d534ef542;0.000211673;2.20E-05;1.80E-05;0.000152106;0.000137881;1.42E-05;1.43E-05;7.36E-05;4.43E-05;5.70E-06;8.69E-06;2.05E-05;2.76E-05;4.18E-06;5.73E-06;5.59E-06
Region30;France, including overseas territories;349;28d52c97-56c5-4bcd-9504-ccc5b4797c67;0.000427604;4.60E-05;3.82E-05;3.35E-04;2.82E-04;2.93E-05;2.97E-05;1.62E-04;9.47E-05;1.15E-05;1.86E-05;4.37E-05;5.82E-05;7.99E-06;1.25E-05;9.39E-06
Region31;CN-CSG;350;5b64ff1c-3c47-4adf-b89c-9e18078b9bf7;0.000840873;7.61E-05;7.20E-05;0.000514868;0.000536338;4.93E-05;5.32E-05;0.000238222;1.52E-04;1.86E-05;3.05E-05;6.12E-05;8.78E-05;1.28E-05;1.71E-05;1.18E-05
Region32;CN-SGCC;351;4c9baec2-f9fc-4f36-84f7-a3ed2eab82a1;0.000373814;3.09E-05;2.38E-05;0.000183714;0.000236565;2.01E-05;1.95E-05;9.36E-05;6.83E-05;7.67E-06;1.20E-05;2.74E-05;4.02E-05;5.46E-06;7.85E-06;6.84E-06
Region33;BL;124;153e85be-7d7e-11de-9ae2-0019e336be3a;3.06E-05;1.70E-06;1.09E-06;5.19E-06;1.84E-05;1.48E-06;6.04E-07;2.73E-06;6.06E-06;1.36E-06;3.78E-07;2.61E-06;5.20E-06;1.38E-06;3.31E-07;2.68E-06
Region34;JE;57;1544d680-7d7e-11de-9ae2-0019e336be3a;0.000318687;4.44E-05;3.11E-05;0.000243944;0.000232714;3.33E-05;2.84E-05;0.000142741;7.17E-05;1.30E-05;2.06E-05;4.07E-05;4.22E-05;8.77E-06;1.35E-05;7.96E-06
Region35;MF;125;153b614a-7d7e-11de-9ae2-0019e336be3a;4.45E-05;2.45E-06;3.83E-06;1.43E-05;3.17E-05;1.71E-06;1.40E-06;4.57E-06;6.40E-06;1.38E-06;5.90E-07;2.80E-06;5.36E-06;1.39E-06;3.78E-07;2.65E-06
Region36;PE;99;11387d6c-7d7e-11de-9ae2-0019e336be3a;0.000127522;9.96E-06;4.61E-06;3.23E-05;8.02E-05;7.44E-06;3.85E-06;1.71E-05;1.79E-05;3.00E-06;2.33E-06;6.54E-06;1.06E-05;2.42E-06;1.43E-06;3.18E-06
Region37;PL;101;114ebb04-7d7e-11de-9ae2-0019e336be3a;0.000466307;4.93E-05;4.04E-05;0.000347028;0.000302743;3.12E-05;3.20E-05;1.64E-04;9.26E-05;1.14E-05;1.90E-05;4.30E-05;5.55E-05;7.79E-06;1.24E-05;9.19E-06
Region38;MT;204;0f9402ce-7d7e-11de-9ae2-0019e336be3a;0.000518403;1.60E-05;2.01E-05;8.65E-05;0.000265297;8.36E-06;1.35E-05;2.01E-05;2.40E-05;2.91E-06;3.99E-06;4.95E-06;1.60E-05;2.25E-06;2.29E-06;3.19E-06
Region39;NE;89;0fe7b522-7d7e-11de-9ae2-0019e336be3a;8.65E-05;6.24E-06;1.65E-06;1.29E-05;5.84E-05;4.53E-06;1.29E-06;7.47E-06;2.09E-05;2.40E-06;9.54E-07;3.99E-06;1.38E-05;2.02E-06;6.69E-07;2.99E-06
Region40;NG;90;10d6bc3a-7d7e-11de-9ae2-0019e336be3a;0.001022601;6.93E-05;3.40E-05;0.000240795;0.000622231;4.57E-05;2.54E-05;0.000108463;0.000146966;1.51E-05;1.35E-05;2.87E-05;7.86E-05;1.03E-05;8.59E-06;6.59E-06
Region41;NU;91;0fe1621c-7d7e-11de-9ae2-0019e336be3a;3.03E-06;8.36E-07;1.67E-07;1.39E-06;3.43E-06;9.92E-07;1.95E-07;1.70E-06;3.68E-06;1.18E-06;2.43E-07;2.30E-06;3.82E-06;1.24E-06;2.62E-07;2.53E-06
Region42;RO;104;11813638-7d7e-11de-9ae2-0019e336be3a;0.000451018;4.35E-05;3.09E-05;0.000230123;0.000285869;2.81E-05;2.57E-05;0.000116145;7.93E-05;1.01E-05;1.60E-05;3.31E-05;4.60E-05;7.04E-06;1.03E-05;7.74E-06
Region43;Europe without Switzerland;333;f9221622-cc45-11de-98ed-0019e336be3a;0.000233382;2.43E-05;2.00E-05;1.71E-04;1.52E-04;1.56E-05;1.59E-05;8.22E-05;4.86E-05;6.19E-06;9.61E-06;2.26E-05;3.01E-05;4.50E-06;6.33E-06;5.93E-06
Region44;SS;107;cff5fe64-d6cf-4256-8bd0-428dc0f104f6;1.37E-04;1.07E-05;5.19E-06;3.15E-05;8.87E-05;7.92E-06;4.05E-06;1.60E-05;2.27E-05;3.39E-06;2.47E-06;6.11E-06;1.34E-05;2.69E-06;1.52E-06;3.16E-06
Region45;CH;130;131278d6-7d7e-11de-9ae2-0019e336be3a;0.000816374;8.70E-05;8.59E-05;7.26E-04;0.000521777;5.55E-05;6.94E-05;3.63E-04;1.66E-04;2.02E-05;4.46E-05;9.93E-05;9.93E-05;1.35E-05;2.82E-05;1.80E-05
Region46;SY;131;130d4f28-7d7e-11de-9ae2-0019e336be3a;0.000511605;3.71E-05;2.13E-05;1.60E-04;3.16E-04;2.30E-05;1.51E-05;6.90E-05;9.09E-05;8.30E-06;8.20E-06;1.86E-05;5.32E-05;5.86E-06;5.14E-06;5.53E-06
Region47;TJ;133;13293cec-7d7e-11de-9ae2-0019e336be3a;0.000218902;1.79E-05;1.26E-05;9.67E-05;0.000144508;1.17E-05;1.16E-05;5.94E-05;4.93E-05;4.91E-06;8.71E-06;2.08E-05;3.08E-05;3.65E-06;5.72E-06;5.99E-06
Region48;VE;150;143d4e2a-7d7e-11de-9ae2-0019e336be3a;8.94E-05;7.72E-06;4.82E-06;3.81E-05;5.78E-05;5.44E-06;3.60E-06;1.81E-05;1.74E-05;2.66E-06;2.15E-06;6.28E-06;1.11E-05;2.20E-06;1.35E-06;3.05E-06
Region49;VN;152;144e6f5c-7d7e-11de-9ae2-0019e336be3a;0.000847949;6.37E-05;6.27E-05;0.00046033;0.000519113;3.99E-05;4.43E-05;1.90E-04;1.34E-04;1.45E-05;2.29E-05;4.55E-05;7.53E-05;9.94E-06;1.30E-05;8.72E-06
Region50;YE;151;146f1702-7d7e-11de-9ae2-0019e336be3a;0.000246452;1.69E-05;4.63E-06;3.05E-05;0.000152649;1.06E-05;3.26E-06;1.42E-05;4.50E-05;4.41E-06;1.92E-06;5.29E-06;2.71E-05;3.42E-06;1.27E-06;3.24E-06
Region51;ZM;147;147563fa-7d7e-11de-9ae2-0019e336be3a;1.17E-04;9.34E-06;4.31E-06;2.94E-05;7.50E-05;6.65E-06;3.41E-06;1.50E-05;2.06E-05;3.00E-06;2.08E-06;5.81E-06;1.27E-05;2.44E-06;1.33E-06;3.14E-06
Region52;ZW;148;147cde5a-7d7e-11de-9ae2-0019e336be3a;0.000198796;1.53E-05;5.89E-06;4.46E-05;0.000125556;1.03E-05;4.40E-06;2.15E-05;3.37E-05;4.13E-06;2.67E-06;7.29E-06;1.97E-05;3.16E-06;1.70E-06;3.47E-06
Region53;RS;154;1520c2a4-7d7e-11de-9ae2-0019e336be3a;0.000470553;4.28E-05;3.37E-05;2.50E-04;0.000295484;2.74E-05;2.69E-05;1.17E-04;8.42E-05;9.64E-06;1.59E-05;3.15E-05;4.88E-05;6.62E-06;1.01E-05;7.50E-06
Region54;AR;187;09951f84-7d7e-11de-9ae2-0019e336be3a;5.78E-05;4.96E-06;2.13E-06;1.85E-05;3.80E-05;3.58E-06;1.69E-06;1.02E-05;1.47E-05;2.13E-06;1.18E-06;4.84E-06;1.03E-05;1.87E-06;9.24E-07;3.14E-06
Region55;AX;190;1023d322-7d7e-11de-9ae2-0019e336be3a;8.36E-05;1.55E-05;8.54E-06;5.85E-05;5.94E-05;9.66E-06;8.25E-06;4.15E-05;2.42E-05;4.75E-06;7.97E-06;1.47E-05;1.63E-05;3.49E-06;5.41E-06;4.55E-06
Region56;FI;188;0d512a50-7d7e-11de-9ae2-0019e336be3a;5.27E-05;6.87E-06;5.56E-06;4.70E-05;3.54E-05;4.72E-06;4.47E-06;2.38E-05;1.35E-05;2.50E-06;2.76E-06;7.94E-06;9.74E-06;2.11E-06;1.75E-06;3.54E-06
Region57;GY;185;0e3b3d98-7d7e-11de-9ae2-0019e336be3a;6.23E-06;1.06E-06;5.42E-07;3.96E-06;5.27E-06;1.11E-06;4.82E-07;2.88E-06;3.70E-06;1.16E-06;4.43E-07;2.49E-06;3.52E-06;1.20E-06;3.80E-07;2.38E-06
Region58;IS;189;0e5d5856-7d7e-11de-9ae2-0019e336be3a;6.58E-06;1.34E-06;6.98E-07;5.49E-06;5.78E-06;1.33E-06;6.01E-07;3.65E-06;4.73E-06;1.36E-06;4.67E-07;2.94E-06;4.58E-06;1.38E-06;3.95E-07;2.78E-06
Region59;TZ;207;13615776-7d7e-11de-9ae2-0019e336be3a;2.87E-04;2.71E-05;1.83E-05;1.30E-04;1.86E-04;1.86E-05;1.41E-05;6.44E-05;5.16E-05;7.56E-06;8.97E-06;1.86E-05;2.97E-05;5.47E-06;5.29E-06;5.03E-06
Region60;CO;214;0cc6c45a-7d7e-11de-9ae2-0019e336be3a;0.000233606;1.98E-05;1.90E-05;0.000125357;0.000146507;1.44E-05;1.45E-05;5.87E-05;3.31E-05;5.34E-06;7.83E-06;1.65E-05;1.87E-05;3.99E-06;4.42E-06;4.47E-06
Region61;SR;209;1117f7f4-7d7e-11de-9ae2-0019e336be3a;1.06E-05;8.33E-07;5.24E-07;3.24E-06;5.68E-06;8.89E-07;4.35E-07;1.99E-06;3.13E-06;1.04E-06;2.98E-07;2.10E-06;3.11E-06;1.10E-06;2.82E-07;2.27E-06
Region62;AO;260;098771a4-7d7e-11de-9ae2-0019e336be3a;0.000120715;9.48E-06;3.21E-06;2.12E-05;7.87E-05;6.98E-06;2.57E-06;1.11E-05;1.96E-05;3.00E-06;1.58E-06;4.89E-06;1.18E-05;2.45E-06;1.08E-06;3.00E-06
Region63;GL;237;0dc048d6-7d7e-11de-9ae2-0019e336be3a;3.71E-06;1.06E-06;1.71E-07;1.69E-06;4.03E-06;1.17E-06;2.11E-07;2.04E-06;4.37E-06;1.34E-06;2.64E-07;2.61E-06;4.46E-06;1.38E-06;2.80E-07;2.79E-06
Region64;AL;216;097c2556-7d7e-11de-9ae2-0019e336be3a;3.55E-04;2.68E-05;2.38E-05;1.83E-04;2.22E-04;1.70E-05;1.84E-05;8.17E-05;6.29E-05;6.38E-06;9.68E-06;2.18E-05;3.67E-05;4.54E-06;6.17E-06;5.79E-06
Region65;DK;217;0cf950f0-7d7e-11de-9ae2-0019e336be3a;3.08E-04;3.16E-05;2.90E-05;2.56E-04;1.98E-04;1.95E-05;2.18E-05;1.10E-04;6.20E-05;7.54E-06;1.19E-05;2.82E-05;3.76E-05;5.37E-06;7.74E-06;6.84E-06
Region66;IAI Area, South America;268;f3b8b2cb-5fd9-4cfc-b947-783a102c739e;7.90E-05;7.69E-06;6.82E-06;5.05E-05;5.24E-05;5.47E-06;5.20E-06;2.37E-05;1.66E-05;2.69E-06;3.06E-06;7.56E-06;1.08E-05;2.22E-06;1.85E-06;3.25E-06
Region67;IAI Area, Asia, without China and GCC;269;77b2f7ee-3f79-4946-a2d7-50c46d1756d2;5.55E-04;4.06E-05;2.13E-05;1.45E-04;3.49E-04;2.73E-05;1.62E-05;6.55E-05;8.39E-05;9.26E-06;8.69E-06;1.84E-05;4.59E-05;6.50E-06;5.74E-06;5.22E-06
Region68;IAI Area, Gulf Cooperation Council;270;058885d6-d0a9-48ff-8d95-4baacf75ce97;1.24E-04;7.13E-06;1.01E-06;7.47E-06;7.22E-05;4.80E-06;7.52E-07;4.00E-06;2.02E-05;2.43E-06;5.08E-07;3.03E-06;1.30E-05;2.08E-06;3.96E-07;2.85E-06
Region69;UCTE;271;ce1503be-7060-4959-8387-bc3ea3f4c885;5.13E-04;5.14E-05;4.25E-05;3.58E-04;3.32E-04;3.25E-05;3.33E-05;1.68E-04;1.02E-04;1.20E-05;2.00E-05;4.45E-05;6.10E-05;8.26E-06;1.32E-05;9.51E-06
Region70;UCTE without France;272;26c31b7c-e0d1-11de-823b-0019e336be3a;5.21E-04;5.15E-05;4.26E-05;3.55E-04;3.35E-04;3.25E-05;3.33E-05;1.66E-04;1.01E-04;1.19E-05;1.99E-05;4.37E-05;6.04E-05;8.17E-06;1.30E-05;9.38E-06
Region71;UCTE without Germany;273;dde7310e-e0d0-11de-823b-0019e336be3a;4.67E-04;4.60E-05;3.76E-05;3.09E-04;3.01E-04;2.93E-05;2.95E-05;1.47E-04;9.23E-05;1.09E-05;1.79E-05;3.94E-05;5.53E-05;7.55E-06;1.18E-05;8.72E-06
Region72;CA-AB;360;6bf93cce-7c23-463e-9962-898efa030fa2;2.57E-05;2.93E-06;1.88E-06;1.58E-05;1.83E-05;2.32E-06;1.74E-06;9.35E-06;8.33E-06;1.68E-06;1.20E-06;4.46E-06;6.65E-06;1.59E-06;8.64E-07;3.03E-06
Region73;CA-BC;361;533c318c-a189-4fc6-84a8-e9d48eab987c;1.39E-05;2.04E-06;1.12E-06;9.66E-06;1.04E-05;1.77E-06;1.00E-06;6.26E-06;6.34E-06;1.53E-06;8.19E-07;3.74E-06;5.55E-06;1.49E-06;6.37E-07;2.90E-06
Region74;CS;359;4eb91d59-44f6-4ec6-9f21-0c48bcf3becf;0.000435894;4.00E-05;3.16E-05;0.000234229;0.000275281;2.58E-05;2.53E-05;0.000112188;7.96E-05;9.22E-06;1.53E-05;3.08E-05;4.66E-05;6.37E-06;9.68E-06;7.39E-06
Region75;RME;358;fd6f25d2-7e2d-11de-9820-0019e336be3a;0.000181028;1.21E-05;4.86E-06;3.74E-05;0.000113475;7.99E-06;3.94E-06;1.93E-05;3.64E-05;3.50E-06;2.51E-06;7.16E-06;2.26E-05;2.74E-06;1.74E-06;3.61E-06
Region76;CA-NB;363;b8ce14f4-e09b-4117-b4dd-d74af99da744;3.10E-05;3.42E-06;2.56E-06;2.17E-05;2.10E-05;2.64E-06;2.10E-06;1.17E-05;8.55E-06;1.76E-06;1.34E-06;4.89E-06;6.73E-06;1.64E-06;8.95E-07;3.04E-06
Region77;CA-NF;364;92618f91-5370-41d9-b5d4-6a9d60b3239f;4.52E-06;1.11E-06;3.26E-07;2.78E-06;4.45E-06;1.19E-06;3.33E-07;2.48E-06;4.28E-06;1.31E-06;3.26E-07;2.64E-06;4.30E-06;1.34E-06;3.15E-07;2.72E-06
Region78;CA-NS;366;8cd8dbae-aa08-44b0-be67-6ed7e876cedd;2.74E-05;2.92E-06;2.27E-06;1.90E-05;1.77E-05;2.25E-06;1.85E-06;9.50E-06;7.70E-06;1.62E-06;1.09E-06;4.17E-06;6.12E-06;1.54E-06;7.36E-07;2.90E-06
Region79;CA-NT;365;5fb3ee97-3981-4918-b09a-4de1b1fdb517;3.60E-06;9.69E-07;1.62E-07;1.51E-06;3.96E-06;1.10E-06;2.04E-07;1.85E-06;4.39E-06;1.32E-06;2.64E-07;2.54E-06;4.48E-06;1.36E-06;2.80E-07;2.75E-06
Region80;CA-NU;367;1325cfa3-2b0d-487e-8d46-3e66b4b00f85;3.55E-06;9.63E-07;1.54E-07;1.45E-06;3.94E-06;1.10E-06;1.97E-07;1.81E-06;4.42E-06;1.32E-06;2.61E-07;2.55E-06;4.51E-06;1.37E-06;2.79E-07;2.76E-06
Region81;CA-ON;368;1d87302d-fd96-4acb-9f9f-d3389ba929b7;5.28E-05;6.05E-06;4.26E-06;3.85E-05;3.60E-05;4.27E-06;3.64E-06;2.10E-05;1.45E-05;2.41E-06;2.45E-06;7.59E-06;1.03E-05;2.05E-06;1.66E-06;3.49E-06
Region82;CA-QC;370;868a66d1-7428-4ba2-9125-253b07afc119;1.79E-05;2.39E-06;1.62E-06;1.52E-05;1.32E-05;1.96E-06;1.34E-06;8.53E-06;7.12E-06;1.58E-06;9.31E-07;4.19E-06;6.00E-06;1.52E-06;6.89E-07;2.96E-06
Region83;CA-YK;372;29dca13b-9d4b-4714-9c80-1808b9127dda;3.58E-06;9.65E-07;1.65E-07;1.54E-06;3.93E-06;1.10E-06;2.08E-07;1.86E-06;4.35E-06;1.31E-06;2.65E-07;2.54E-06;4.43E-06;1.36E-06;2.80E-07;2.74E-06
Region84;US-AK;374;053e6c3d-7a86-45f4-85af-be0f971998a0;4.54E-06;1.09E-06;2.77E-07;2.41E-06;4.50E-06;1.18E-06;3.01E-07;2.36E-06;4.48E-06;1.33E-06;3.19E-07;2.65E-06;4.49E-06;1.36E-06;3.12E-07;2.75E-06
Region85;US-CA;377;5d7486b1-a50c-4c86-8dd3-ce9773bd2bab;3.76E-04;2.79E-05;8.07E-06;6.35E-05;2.43E-04;1.80E-05;7.04E-06;3.25E-05;6.98E-05;6.47E-06;4.61E-06;1.12E-05;4.00E-05;4.66E-06;4.06E-06;4.51E-06
Region86;US-DC;381;909aae3b-d802-4626-a75e-f0d48dba9812;1.43E-03;5.79E-05;9.91E-05;6.42E-04;8.16E-04;2.84E-05;4.42E-05;1.92E-04;3.17E-04;1.22E-05;2.16E-05;4.43E-05;1.94E-04;8.73E-06;1.11E-05;9.06E-06
Region87;US-FL;382;8dbe7fbe-7375-4cb0-a1a2-6d55bc55e86e;0.000409782;2.92E-05;2.27E-05;1.51E-04;0.000255032;1.87E-05;1.57E-05;6.08E-05;6.33E-05;6.64E-06;7.84E-06;1.55E-05;3.59E-05;4.78E-06;4.17E-06;4.49E-06
