Value;Ecoinvent_region_shortname;Ecoinvent_region_id;Ecoinvent_region_uuid;Characterization_factor_2;Characterization_factor_5;Characterization_factor_8;Characterization_factor_11;Characterization_factor_14;Characterization_factor_17;Characterization_factor_20;Characterization_factor_23;Characterization_factor_26;Characterization_factor_29;Characterization_factor_32;Characterization_factor_35;Characterization_factor_38;Characterization_factor_41;Characterization_factor_44;Characterization_factor_47
Substance;N/A;N/A;N/A;PM2.5;SO2;NOx;NH3;PM2.5;SO2;NOx;NH3;PM2.5;SO2;NOx;NH3;PM2.5;SO2;NOx;NH3
Height_class;N/A;N/A;N/A;Ground_level;Ground_level;Ground_level;Ground_level;Low_stack;Low_stack;Low_stack;Low_stack;High_stack;High_stack;High_stack;High_stack;Very_high_stack;Very_high_stack;Very_high_stack;Very_high_stack
Month;N/A;N/A;N/A;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average;Annual_average
Time_of_day;N/A;N/A;N/A;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average;Day_night_average
Effect_model;N/A;N/A;N/A;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average;Average
Unit;N/A;N/A;N/A;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg;DALY per kg
Region475;UN-NEUROPE;285;548bd19c-88d5-11de-99d3-0019e336be3a;0.000115845;1.28E-05;1.17E-05;0.000109421;7.56E-05;8.23E-06;8.76E-06;5.05E-05;2.75E-05;3.76E-06;5.17E-06;1.44E-05;1.83E-05;2.94E-06;3.40E-06;4.60E-06
Region476;UN-SEASIA;282;4aff9c9e-88d5-11de-99d3-0019e336be3a;0.000452397;3.60E-05;3.83E-05;0.00025892;0.000278906;2.39E-05;2.75E-05;0.000106145;6.55E-05;8.57E-06;1.34E-05;2.62E-05;3.64E-05;6.10E-06;7.41E-06;5.84E-06
Region477;UN-SEUROPE;286;57c8c52c-88d5-11de-99d3-0019e336be3a;0.000397998;3.43E-05;2.87E-05;0.000213367;0.00025111;2.18E-05;2.20E-05;9.74E-05;7.38E-05;8.07E-06;1.28E-05;2.62E-05;4.40E-05;5.73E-06;8.30E-06;6.60E-06
Region478;UN-WASIA;283;4ed30b08-88d5-11de-99d3-0019e336be3a;0.000248011;1.77E-05;9.15E-06;6.70E-05;0.000154203;1.15E-05;7.20E-06;3.28E-05;4.60E-05;4.61E-06;4.35E-06;1.05E-05;2.78E-05;3.45E-06;2.85E-06;4.15E-06
Region479;Central Asia;279;23ccc3fe-88d5-11de-99d3-0019e336be3a;7.85E-05;6.69E-06;4.11E-06;3.26E-05;5.14E-05;4.65E-06;3.67E-06;1.89E-05;1.88E-05;2.47E-06;2.54E-06;7.40E-06;1.28E-05;2.09E-06;1.78E-06;3.59E-06
Region480;Québec, HQ distribution network;303;c231d8f9-39e9-408c-9884-8508b8f9baf7;1.79E-05;2.39E-06;1.62E-06;1.52E-05;1.32E-05;1.96E-06;1.34E-06;8.53E-06;7.12E-06;1.58E-06;9.31E-07;4.19E-06;6.00E-06;1.52E-06;6.89E-07;2.96E-06
Region481;RAS;329;19c7cdd2-e590-11de-9dfe-0019e336be3a;0.000256247;1.99E-05;1.26E-05;9.13E-05;0.000161759;1.34E-05;9.90E-06;4.40E-05;4.39E-05;5.22E-06;5.74E-06;1.34E-05;2.58E-05;3.88E-06;3.76E-06;4.46E-06
Region482;RER;331;0723d252-7e2a-11de-9820-0019e336be3a;0.000234321;2.44E-05;2.02E-05;0.000172207;0.000152596;1.57E-05;1.60E-05;8.27E-05;4.88E-05;6.21E-06;9.67E-06;2.28E-05;3.03E-05;4.51E-06;6.36E-06;5.95E-06
Region483;Russia (Asia);262;6d696e3b-ac91-486c-8f04-349c496915ae;1.44E-05;2.05E-06;1.27E-06;1.09E-05;1.08E-05;1.77E-06;1.10E-06;6.41E-06;6.24E-06;1.51E-06;7.78E-07;3.62E-06;5.50E-06;1.48E-06;5.82E-07;2.89E-06
Region484;Russia (Europe);261;1cfaa6a1-259a-442f-80ca-1070cfbbf6da;0.000110408;1.28E-05;1.02E-05;8.71E-05;7.37E-05;8.51E-06;8.49E-06;4.44E-05;2.50E-05;3.72E-06;5.22E-06;1.30E-05;1.64E-05;2.89E-06;3.41E-06;4.33E-06
